CPU	8	0.080349
CPU	8	0.076367
CPU	8	0.086336
CPU	8	0.082023
CPU	8	0.079854
CPU	8	0.081682
CPU	8	0.080365
CPU	8	0.076370
CPU	8	0.080718
CPU	8	0.083497
CPU	16	0.087748
CPU	16	0.075426
CPU	16	0.078691
CPU	16	0.080409
CPU	16	0.074928
CPU	16	0.073673
CPU	16	0.082901
CPU	16	0.081346
CPU	16	0.077433
CPU	16	0.076966
CPU	32	0.086808
CPU	32	0.080827
CPU	32	0.069622
CPU	32	0.089191
CPU	32	0.078729
CPU	32	0.083203
CPU	32	0.087023
CPU	32	0.079426
CPU	32	0.086203
CPU	32	0.082336
CPU	64	0.084409
CPU	64	0.075221
CPU	64	0.077978
CPU	64	0.077941
CPU	64	0.082663
CPU	64	0.088189
CPU	64	0.082128
CPU	64	0.079566
CPU	64	0.082246
CPU	64	0.078953
CPU	128	0.075987
CPU	128	0.085730
CPU	128	0.086986
CPU	128	0.085753
CPU	128	0.079949
CPU	128	0.080685
CPU	128	0.082363
CPU	128	0.095593
CPU	128	0.081977
CPU	128	0.082203
CPU	256	0.094183
CPU	256	0.095759
CPU	256	0.103722
CPU	256	0.098546
CPU	256	0.088117
CPU	256	0.096885
CPU	256	0.094953
CPU	256	0.097663
CPU	256	0.101953
CPU	256	0.096641
CPU	512	0.963500
CPU	512	0.922209
CPU	512	0.798985
CPU	512	0.813080
CPU	512	0.863711
CPU	512	0.811939
CPU	512	0.704672
CPU	512	0.624957
CPU	512	0.907817
CPU	512	0.913776
CPU	1024	8.371721
CPU	1024	6.709122
CPU	1024	6.765556
CPU	1024	6.891081
CPU	1024	8.089630
CPU	1024	7.673219
CPU	1024	8.364069
CPU	1024	6.821890
CPU	1024	6.964636
CPU	1024	7.287521
CPU	2048	61.644579
CPU	2048	63.045513
CPU	2048	60.917001
CPU	2048	57.685858
CPU	2048	62.353171
CPU	2048	60.488592
CPU	2048	62.349801
CPU	2048	59.380333
CPU	2048	65.466117
CPU	2048	61.882127
CPU	4096	803.851747
CPU	4096	822.518538
CPU	4096	809.516459
